0	1	date
-89.222618	37.463057	11/21/1978
-94.471038	39.22342	12/05/1978
-90.595304	36.411387	11/28/1978
-95.436583	31.316108	02/01/1979
-89.167463	37.354718	11/14/1978
-87.060804	35.204108	02/13/1979
-89.380071	32.97513	07/31/1979
-95.90001	33.257922	06/19/1979
-94.843616	38.694721	09/18/1979
-90.875475	38.813636	10/15/1980
-92.653644	31.936231	07/31/1979
-96.010725	36.368576	09/18/1979
-95.974971	35.439822	03/13/1979
-96.457597	31.685669	08/28/1979
-95.099342	30.335157	03/06/1979
-93.384076	38.242914	03/27/1979
-95.482294	32.688034	07/10/1979
-89.238858	38.02354	03/18/1980
-90.315406	39.104947	12/30/1986
-88.094511	38.739478	11/13/1979
-89.958252	38.777707	08/21/1979
-87.91782	37.682787	10/30/1979
-88.706773	34.314085	02/12/1980
-96.562685	32.853534	08/28/1979
-96.848818	32.386291	07/17/1979
-93.063281	34.455934	12/01/1981
-88.935069	37.993939	07/31/1979
-87.380157	36.062288	06/26/1979
-96.303092	32.737185	09/25/1979
-97.095407	32.931013	06/24/1980
-94.475182	37.13358	05/01/1980
-88.235245	35.202992	10/23/1979
-98.422383	34.619294	10/29/1979
-93.05554	32.800239	08/04/1981
-97.78748	33.470038	08/07/1979
-86.819722	35.947623	08/21/1979
-88.351989	34.186772	07/03/1979
-88.20244	34.804522	08/21/1979
-94.951247	30.711104	10/23/1979
-95.124472	35.253884	02/18/1981
-97.493206	35.31996	03/04/1980
-93.691677	32.52245	06/30/1981
-94.413202	34.047941	02/12/1980
-97.008993	30.652157	10/30/1979
-92.029373	35.507387	10/30/1979
-86.57136	36.696825	09/30/1980
-93.838805	30.022938	02/26/1980
-97.132479	32.579046	09/25/1979
-94.942365	30.722199	09/25/1979
-96.620744	32.330973	12/04/1979
-87.568571	33.904134	11/27/1979
-94.426614	30.766353	10/30/1979
-91.38329	33.61007	10/30/1979
-97.460945	29.515445	07/01/1980
-97.668555	29.863313	08/12/1980
-96.070721	30.397168	05/28/1980
-87.105483	37.288826	07/29/1980
-90.656645	38.506004	04/01/1980
-93.16404	35.230807	08/28/1980
-95.235631	30.105493	09/01/1981
-86.156364	34.214275	08/12/1980
-86.43503	36.951395	09/30/1980
-85.761648	33.782651	10/14/1980
-85.988924	34.009877	08/12/1980
-89.313314	37.789031	09/30/1980
-89.958081	34.622123	09/03/1980
-86.886783	36.482569	10/23/1979
-89.546376	32.7286	11/20/1979
-86.565334	34.3158	02/26/1980
-92.150163	32.501848	11/16/1982
-86.045845	35.455293	02/10/1981
-92.096269	29.97034	10/28/1980
-92.364425	30.2307	09/30/1980
-91.513567	29.812711	10/13/1980
-92.277124	30.69783	11/18/1980
-90.570608	38.410447	04/07/1981
-86.567999	35.140415	11/20/1979
-86.45029	33.971239	10/14/1980
-86.091264	33.997147	11/18/1980
-88.740381	39.06167	09/15/1981
-94.446312	34.64201	04/15/1980
-94.492649	38.81278	06/24/1980
-96.899313	31.306295	10/14/1980
-96.411065	30.150335	11/11/1980
-96.332769	30.658718	06/29/1982
-93.710773	32.031006	09/03/1980
-96.391073	35.828294	11/03/1981
-94.074012	38.99639	10/14/1980
-93.718329	39.076045	10/21/1980
-94.805651	36.418203	08/05/1980
-90.153926	38.360853	04/21/1981
-85.818398	33.7183	04/15/1980
-96.997161	28.877441	11/11/1980
-93.325516	30.232566	02/10/1981
-86.706386	34.769813	10/13/1981
-86.877488	37.414584	02/03/1981
-89.901694	39.279782	11/11/1980
-88.854223	35.667654	11/11/1980
-92.398912	34.289155	08/04/1980
